mun_id	year	F_n	F_semanas	F_ave_semanas	M_n	M_semanas	M_ave_semanas	T_n	T_semanas	T_ave_semanas
5010	2018	1881	80818	42.96544391281233	2526	90966	36.01187648456057	4407	171784	38.97980485591105
5010	2019	1731	76586	44.243789716926635	2201	83159	37.782371649250344	3932	159745	40.626907426246184
5015	2018	959	40577	42.31178310740354	1005	37726	37.538308457711445	1964	78303	39.86914460285132
5015	2019	883	38207	43.26953567383919	962	36203	37.63305613305613	1845	74410	40.330623306233065
5005	2018	172	7468	43.41860465116279	209	6707	32.09090909090909	381	14175	37.20472440944882
5005	2019	156	7269	46.59615384615385	135	5943	44.022222222222226	291	13212	45.402061855670105
5030	2018	693	29186	42.115440115440116	2134	71593	33.54873477038426	2827	100779	35.648744251857096
5030	2019	682	28635	41.98680351906158	2214	69467	31.37624209575429	2896	98102	33.875
5020	2018	199	8610	43.266331658291456	170	6016	35.38823529411765	369	14626	39.636856368563684
5020	2019	200	8647	43.235	162	5417	33.43827160493827	362	14064	38.850828729281766
5025	2018	589	25484	43.26655348047538	931	33981	36.49946294307197	1520	59465	39.12171052631579
5025	2019	538	23246	43.20817843866171	841	31315	37.235434007134366	1379	54561	39.56562726613488
7520	2018	4685	180846	38.60106723585913	6935	251681	36.29142033165105	11620	432527	37.22263339070568
7520	2019	4594	183338	39.90814105354811	6485	245536	37.8621434078643	11079	428874	38.710533441646355
7515	2018	678	26680	39.35103244837758	1066	38299	35.927767354596625	1744	64979	37.258600917431195
7515	2019	662	26625	40.2190332326284	929	35391	38.09580193756727	1591	62016	38.97925832809554
7525	2018	521	21915	42.063339731285986	672	24519	36.486607142857146	1193	46434	38.922045264040236
7525	2019	516	22099	42.82751937984496	621	23868	38.43478260869565	1137	45967	40.4283201407212
7510	2018	3800	159219	41.89973684210526	4751	178629	37.59818985476742	8551	337848	39.50976493977313
7510	2019	3545	151848	42.83441466854725	4193	167261	39.89053183877892	7738	319109	41.23920909795813
7540	2018	179	7522	42.022346368715084	254	8363	32.925196850393704	433	15885	36.685912240184756
7540	2019	183	7795	42.595628415300546	210	7918	37.7047619047619	393	15713	39.98218829516539
7530	2018	386	16125	41.77461139896373	554	19042	34.371841155234655	940	35167	37.411702127659574
