nid	macroregion	departamento_code	departamento_name	id	municipio_name	fecha_creacion	km2	municipio_capital_name	lat	lon	asnm	pob1963t	pob1971t	pob1995t	pob2005t	pob2006t	pob2007t	pob2008t	pob2009t	pob2010t	pob2011t	pob2012t	pob2013t	pob2014t	pob2015t	pob2016t	pob2017t	pob1963ur	pob1971ur	pob1995ur	pob2005ur	pob2006ur	pob2007ur	pob2008ur	pob2009ur	pob2010ur	pob2011ur	pob2012ur	pob2013ur	pob2014ur	pob2015ur	pob2016ur	pob2017ur	pob1963ru	pob1971ru	pob1995ru	pob2005ru	pob2006ru	pob2007ru	pob2008ru	pob2009ru	pob2010ru	pob2011ru	pob2012ru	pob2013ru	pob2014ru	pob2015ru	pob2016ru	pob2017ru
1	central	5	Nueva Segovia 	505	Jalapa	<1963	686.88	Jalapa	13.91666667	-86.11666667	679	8602	15725	41756	54491	55580	56691	57824	58980	60159	61362	62589	63840	65116	66418	67746	69100	1868	3604	21668	24435	25337	25337	26272	27241	28246	29288	30369	31489	32651	33856	35105	37742	6734	12121	20088	30056	30162	30269	30376	30484	30592	30700	30809	30918	31027	31137	31247	31358
2	central	5	Nueva Segovia 	510	Murra	<1963	429.13	Murra	13.75	-86.01666667	750	4283	8540	11017	14847	15115	15387	15664	15946	16233	16526	16824	17127	17436	17750	18070	18396	226	340	508	1316	1362	1410	1460	1511	1564	1619	1676	1735	1796	1859	1925	1994	4057	8200	10509	13531	13750	13972	14198	14427	14660	14897	15138	15383	15632	15885	16142	16402
3	central	5	Nueva Segovia 	515	El Jícaro	<1963	428.78	El Jícaro	13.71666667	-86.13333333	580	7593	9729	22000	25901	26343	26793	27251	27717	28190	28672	29162	29660	30167	30682	31206	31739	1114	1655	6137	6756	6941	7131	7326	7527	7733	7945	8163	8387	8617	8853	9095	9343	6479	8074	15863	19145	19397	19652	19911	20173	20438	20707	20979	21255	21535	21818	22105	22396
4	central	5	Nueva Segovia 	520	San Fernando	<1963	236	San Fernando	13.66666667	-86.31666667	729	1079	2263	5950	8549	8749	8953	9162	9376	9595	9819	10048	10283	10523	10769	11020	11277	479	632	2186	4330	4403	4478	4554	4631	4709	4789	4870	4952	5036	5121	5208	5296	600	1631	3764	4219	4344	4472	4604	4740	4880	5024	5172	5325	5482	5644	5811	5981
5	central	5	Nueva Segovia 	525	Mozonte	<1963	218	Mozonte	13.65	-86.43333333	693	2161	2395	5186	6795	6926	7060	7196	7335	7477	7621	7768	7918	8071	8227	8386	8548	271	391	1398	1809	1843	1878	1914	1950	1987	2025	2063	2102	2142	2183	2224	2266	1890	2004	3788	4986	5083	5182	5283	5386	5491	5598	5707	5818	5931	6046	6164	6282
6	central	5	Nueva Segovia 	530	Dipilto	<1963	104.9	Dipilto	13.71666667	-86.5	882	2247	1745	3879	5207	5307	5409	5513	5619	5727	5837	5949	6063	6180	6299	6420	6545	374	182	263	178	198	221	246	274	305	340	379	422	470	524	584	652	1873	1563	3616	5029	5096	5164	5233	5303	5374	5445	5517	5590	5664	5739	5815	5893
7	central	5	Nueva Segovia 	535	Macuelizo	<1963	254.59	Macuelizo	13.65	-86.6	700	2488	2541	4768	6076	6142	6208	6275	6343	6412	6481	6551	6622	6694	6766	6839	6912	155	158	203	247	266	287	309	333	359	387	417	450	485	523	564	608	2333	2383	4565	5829	5867	5905	5944	5983	6022	6061	6101	6141	6181	6221	6262	6304
8	central	5	Nueva Segovia 	540	Santa María	<1963	157.53	Santa María	13.73333333	-86.7	770	2912	3082	3698	4404	4447	4491	4535	4580	4625	4671	4717	4763	4810	4857	4905	4954	267	332	408	549	562	576	590	604	619	634	650	666	682	699	716	734	2645	2750	3290	3855	3884	3913	3943	3973	4003	4033	4064	4095	4126	4157	4188	4220
9	central	5	Nueva Segovia 	545	Ocotal	<1963	85.23	Ocotal	13.63333333	-86.46666667	605	4573	8742	26076	34580	35405	36250	37115	38000	38907	39835	40785	41758	42754	43774	44818	45887	4339	7734	25264	34190	34964	35756	36565	37393	38240	39106	39991	40896	41822	42769	43737	44727	234	1008	812	390	427	468	513	562	615	673	737	807	884	968	1060	1160
10	central	5	Nueva Segovia 	550	Ciudad Antigua	<1963	147.22	Ciudad Antigua	13.63333333	-86.3	640	1536	1352	3421	4868	4986	5106	5229	5355	5484	5617	5753	5892	6034	6180	6329	6483	415	421	1118	1473	1518	1564	1612	1661	1712	1764	1818	1874	1931	1990	2051	2114	1121	931	2303	3395	3467	3541	3616	3693	3771	3851	3933	4017	4102	4189	4278	4369
11	central	5	Nueva Segovia 	555	Quilalí	<1963	345.02	Quilalí	13.56666667	-86.01666667	430	8426	9670	20741	26461	26926	27399	27880	28370	28868	29375	29891	30416	30950	31494	32047	32612	710	1293	7870	7106	7310	7520	7736	7958	8186	8421	8663	8912	9168	9431	9702	9978	7716	8377	12871	19355	19609	19866	20127	20391	20659	20930	21205	21483	21765	22051	22340	22634
12	central	5	Nueva Segovia 	560	Wiwilí de Nueva Segovia	>1971	398	Wiwilí	13.61666667	-86.81666667	300	0	0	0	16344	16489	16636	16784	16933	17084	17236	17389	17544	17700	17858	18017	18178	0	0	0	3467	3572	3680	3791	3905	4023	4144	4269	4398	4531	4668	4809	4953	0	0	0	12877	12906	12935	12964	12993	13022	13051	13080	13109	13138	13167	13196	13225
13	central	10	Jinotega 	1005	Wiwilí de Jinotega	>1971	2370.08	Wiwilí de Jinotega 	13.61666667	-85.81666667	295	0	0	51985	57485	58766	60075	61414	62782	64181	65611	67073	68568	70096	71658	73255	74887	0	0	5448	6674	7048	7443	7860	8300	8765	9256	9775	10323	10901	11512	12157	12839	0	0	46537	50811	51664	52531	53413	54310	55222	56149	57092	58051	59026	60017	61025	62048
